timestamp,day,emptyspots,maxspots,lot,occupiedspots,time,date
2013-03-16 14:10:09,Saturday,34,40,C,6,14:10:09,2013-03-16
2012-11-07 15:24:43,Wednesday,18,100,A,82,15:24:43,2012-11-07
2012-12-13 16:20:12,Thursday,0,28,B,28,16:20:12,2012-12-13
2012-12-29 12:55:35,Saturday,28,28,B,0,12:55:35,2012-12-29
2013-03-20 07:20:01,Wednesday,25,40,C,15,07:20:01,2013-03-20
2012-12-08 14:30:10,Saturday,28,28,B,0,14:30:10,2012-12-08
2013-03-12 17:25:13,Tuesday,0,40,C,40,17:25:13,2013-03-12
2012-12-26 09:15:04,Wednesday,28,28,B,0,09:15:04,2012-12-26
2012-12-25 10:15:05,Tuesday,28,28,B,0,10:15:05,2012-12-25
2012-12-18 11:10:06,Tuesday,0,28,B,28,11:10:06,2012-12-18
2012-12-18 09:40:04,Tuesday,0,28,B,28,09:40:04,2012-12-18
2012-12-18 16:05:12,Tuesday,1,28,B,27,16:05:12,2012-12-18
2013-03-21 09:10:03,Thursday,0,40,C,40,09:10:03,2013-03-21
2013-03-03 15:10:10,Sunday,40,40,C,0,15:10:10,2013-03-03
2012-12-25 19:00:14,Tuesday,28,28,B,0,19:00:14,2012-12-25
2012-11-11 11:28:59,Sunday,100,100,A,0,11:28:59,2012-11-11
2012-12-25 10:40:05,Tuesday,28,28,B,0,10:40:05,2012-12-25
2012-12-19 17:30:13,Wednesday,0,28,B,28,17:30:13,2012-12-19
2012-12-07 18:57:27,Friday,10,28,B,18,18:57:27,2012-12-07
2012-11-08 07:00:26,Thursday,93,100,A,7,07:00:26,2012-11-08
2012-12-12 14:55:10,Wednesday,0,28,B,28,14:55:10,2012-12-12
2013-03-02 09:55:04,Saturday,32,40,C,8,09:55:04,2013-03-02
2012-12-15 15:25:12,Saturday,26,28,B,2,15:25:12,2012-12-15
2013-03-11 16:35:12,Monday,8,40,C,32,16:35:12,2013-03-11
2012-12-08 08:10:03,Saturday,28,28,B,0,08:10:03,2012-12-08
2012-11-10 07:32:41,Saturday,99,100,A,1,07:32:41,2012-11-10
2012-12-24 10:25:05,Monday,28,28,B,0,10:25:05,2012-12-24
2013-03-19 14:10:09,Tuesday,2,40,C,38,14:10:09,2013-03-19
2013-03-17 09:00:03,Sunday,40,40,C,0,09:00:03,2013-03-17
2012-12-12 17:30:14,Wednesday,1,28,B,27,17:30:14,2012-12-12
2012-11-07 14:24:41,Wednesday,24,100,A,76,14:24:41,2012-11-07
2013-03-16 14:45:10,Saturday,34,40,C,6,14:45:10,2013-03-16
2012-12-18 10:10:05,Tuesday,0,28,B,28,10:10:05,2012-12-18
2012-12-21 18:30:15,Friday,17,28,B,11,18:30:15,2012-12-21
2013-03-17 15:55:11,Sunday,40,40,C,0,15:55:11,2013-03-17
2012-12-21 15:15:11,Friday,9,28,B,19,15:15:11,2012-12-21
2012-12-26 17:05:13,Wednesday,28,28,B,0,17:05:13,2012-12-26
2012-12-22 20:15:17,Saturday,27,28,B,1,20:15:17,2012-12-22
2012-12-15 14:20:11,Saturday,26,28,B,2,14:20:11,2012-12-15
2013-03-17 10:00:04,Sunday,40,40,C,0,10:00:04,2013-03-17
2012-12-24 11:25:06,Monday,28,28,B,0,11:25:06,2012-12-24
2013-03-16 18:30:14,Saturday,38,40,C,2,18:30:14,2013-03-16
2012-12-18 14:45:10,Tuesday,0,28,B,28,14:45:10,2012-12-18
2012-12-28 18:05:14,Friday,28,28,B,0,18:05:14,2012-12-28
2012-12-27 11:00:06,Thursday,22,28,B,6,11:00:06,2012-12-27
2013-03-06 09:25:04,Wednesday,0,40,C,40,09:25:04,2013-03-06
2012-12-28 08:45:03,Friday,28,28,B,0,08:45:03,2012-12-28
2012-12-22 12:45:08,Saturday,27,28,B,1,12:45:08,2012-12-22
2012-12-23 19:55:16,Sunday,28,28,B,0,19:55:16,2012-12-23
2012-12-23 09:40:05,Sunday,28,28,B,0,09:40:05,2012-12-23
2012-12-26 13:15:09,Wednesday,27,28,B,1,13:15:09,2012-12-26
2012-12-20 18:10:13,Thursday,1,28,B,27,18:10:13,2012-12-20
2012-12-17 16:20:13,Monday,3,28,B,25,16:20:13,2012-12-17
2013-03-18 10:25:05,Monday,1,40,C,39,10:25:05,2013-03-18
2012-12-28 15:50:11,Friday,28,28,B,0,15:50:11,2012-12-28
2013-03-16 15:15:10,Saturday,35,40,C,5,15:15:10,2013-03-16
2012-12-11 19:41:12,Tuesday,0,28,B,28,19:41:12,2012-12-11
2013-03-11 11:35:06,Monday,2,40,C,38,11:35:06,2013-03-11
2012-11-11 07:18:48,Sunday,100,100,A,0,07:18:48,2012-11-11
2013-03-16 07:25:01,Saturday,40,40,C,0,07:25:01,2013-03-16
2012-12-07 19:27:27,Friday,11,28,B,17,19:27:27,2012-12-07
2013-03-13 15:40:11,Wednesday,0,40,C,40,15:40:11,2013-03-13
2013-03-10 06:20:00,Sunday,40,40,C,0,06:20:00,2013-03-10
2013-03-12 09:10:03,Tuesday,0,40,C,40,09:10:03,2013-03-12
2012-12-13 14:15:10,Thursday,0,28,B,28,14:15:10,2012-12-13
2013-03-17 14:00:09,Sunday,40,40,C,0,14:00:09,2013-03-17
2013-03-13 14:00:09,Wednesday,0,40,C,40,14:00:09,2013-03-13
2013-03-09 15:10:10,Saturday,36,40,C,4,15:10:10,2013-03-09
2012-12-21 09:35:04,Friday,0,28,B,28,09:35:04,2012-12-21
2012-12-25 16:25:11,Tuesday,28,28,B,0,16:25:11,2012-12-25
2012-12-21 16:15:12,Friday,15,28,B,13,16:15:12,2012-12-21
2013-03-17 17:30:13,Sunday,40,40,C,0,17:30:13,2013-03-17
2012-12-15 07:40:02,Saturday,28,28,B,0,07:40:02,2012-12-15
2013-03-18 07:50:02,Monday,1,40,C,39,07:50:02,2013-03-18
2012-12-23 18:35:15,Sunday,28,28,B,0,18:35:15,2012-12-23
2012-12-19 13:35:09,Wednesday,2,28,B,26,13:35:09,2012-12-19
2012-12-18 17:30:14,Tuesday,0,28,B,28,17:30:14,2012-12-18
2012-12-25 14:05:09,Tuesday,28,28,B,0,14:05:09,2012-12-25
2012-12-08 16:00:12,Saturday,28,28,B,0,16:00:12,2012-12-08
2013-03-06 18:20:14,Wednesday,2,40,C,38,18:20:14,2013-03-06
2013-03-19 17:35:13,Tuesday,4,40,C,36,17:35:13,2013-03-19
2012-12-20 10:20:05,Thursday,0,28,B,28,10:20:05,2012-12-20
2013-03-02 13:50:09,Saturday,35,40,C,5,13:50:09,2013-03-02
2013-03-01 17:43:00,Friday,16,40,C,24,17:43:00,2013-03-01
2012-12-29 12:45:35,Saturday,28,28,B,0,12:45:35,2012-12-29
2013-03-13 18:20:14,Wednesday,6,40,C,34,18:20:14,2013-03-13
2012-11-08 11:05:38,Thursday,12,100,A,88,11:05:38,2012-11-08
2013-03-10 09:45:04,Sunday,39,40,C,1,09:45:04,2013-03-10
2013-03-10 08:55:03,Sunday,40,40,C,0,08:55:03,2013-03-10
2012-12-13 16:50:13,Thursday,1,28,B,27,16:50:13,2012-12-13
2012-11-08 09:45:34,Thursday,5,100,A,95,09:45:34,2012-11-08
2012-12-16 18:05:15,Sunday,1,28,B,27,18:05:15,2012-12-16
2012-11-09 08:01:35,Friday,25,100,A,75,08:01:35,2012-11-09
2012-12-07 20:22:28,Friday,5,28,B,23,20:22:28,2012-12-07
2012-12-21 12:20:07,Friday,7,28,B,21,12:20:07,2012-12-21
2013-03-06 13:50:09,Wednesday,0,40,C,40,13:50:09,2013-03-06
2013-03-21 11:50:06,Thursday,2,40,C,38,11:50:06,2013-03-21
2013-03-11 11:00:05,Monday,0,40,C,40,11:00:05,2013-03-11
2013-03-19 08:45:03,Tuesday,0,40,C,40,08:45:03,2013-03-19
2013-03-16 10:20:05,Saturday,19,40,C,21,10:20:05,2013-03-16
2012-12-17 12:25:08,Monday,3,28,B,25,12:25:08,2012-12-17
2013-03-20 13:25:08,Wednesday,0,40,C,40,13:25:08,2013-03-20
2012-12-21 10:50:06,Friday,4,28,B,24,10:50:06,2012-12-21
2013-03-17 09:35:04,Sunday,40,40,C,0,09:35:04,2013-03-17
2013-03-11 09:00:03,Monday,1,40,C,39,09:00:03,2013-03-11
2013-03-20 14:50:10,Wednesday,0,40,C,40,14:50:10,2013-03-20
2012-12-16 18:55:16,Sunday,7,28,B,21,18:55:16,2012-12-16
2013-03-11 08:10:02,Monday,0,40,C,40,08:10:02,2013-03-11
2012-12-17 14:30:11,Monday,0,28,B,28,14:30:11,2012-12-17
2012-12-20 20:55:16,Thursday,11,28,B,17,20:55:16,2012-12-20
2012-12-17 16:55:14,Monday,1,28,B,27,16:55:14,2012-12-17
2012-12-25 10:55:06,Tuesday,28,28,B,0,10:55:06,2012-12-25
2013-03-06 13:40:09,Wednesday,0,40,C,40,13:40:09,2013-03-06
2012-11-08 09:20:32,Thursday,5,100,A,95,09:20:32,2012-11-08
2013-03-15 13:45:09,Friday,0,40,C,40,13:45:09,2013-03-15
2012-11-07 09:39:26,Wednesday,6,100,A,94,09:39:26,2012-11-07
2013-03-21 16:15:11,Thursday,5,40,C,35,16:15:11,2013-03-21
2012-12-23 09:05:04,Sunday,28,28,B,0,09:05:04,2012-12-23
2012-11-11 14:24:08,Sunday,96,100,A,4,14:24:08,2012-11-11
2012-11-10 14:28:01,Saturday,71,100,A,29,14:28:01,2012-11-10
2012-12-12 11:10:06,Wednesday,0,28,B,28,11:10:06,2012-12-12
2013-03-17 12:25:07,Sunday,40,40,C,0,12:25:07,2013-03-17
2012-12-08 09:25:04,Saturday,28,28,B,0,09:25:04,2012-12-08
